Genus	Name
Muscardinus_avellanarius	Dormouse
Graphiurus_murinus	Dormouse
Glis_glis	Dormouse
Aplodontia_rufa	Beaver
Marmota_marmota	Squirrel
Ictidomys_tridecemlineatus	Squirrel
Spermophilus_dauricus	Squirrel
Xerus_inauris	Squirrel
Peromyscus_maniculatus	DeerMouse
Onychomys_torridus	GrasshopperMouse
Microtus_ochrogaster	Vole
Ellobius_talpinus	Vole
Ellobius_lutescens	Vole
Ondatra_zibethicus	Muskrat
Mesocricetus_auratus	Hamster
Cricetulus_griseus	Hamster
Sigmodon_hispidus	CottonRat
Acomys_cahirinus	SpinyMouse
Psammomys_obesus	Rat
Meriones_unguiculatus	Gerbil
Rattus_norvegicus	Rat
Mus_musculus	Mouse
Mus_spretus	Mouse
Mus_caroli	Mouse
Mus_pahari	Mouse
Cricetomys_gambianus	Rat
Nannospalax_galili	MoleRat
Allactaga_bullata	GobiJerboa
Jaculus_jaculus	LesserJerboa
Zapus_hudsonius	MeadowMouse
Castor_canadensis	Beaver
Perognathus_longimembris	PocketMouse
Dipodomys_stephensi	KangarooRat
Dipodomys_ordii	KangarooRat
